Name,Age,Height,Market Value,img_url,Position,Team,Total played,Started,Minutes per game,Goals conceded per game,Saves per game,Goals,Scoring frequency,Goals per game,Shots per game,Shots on target per game,Assists,Key passes per game,Accurate per game,Acc. long balls,Acc. crosses,Clean sheets,Interceptions per game,Balls recovered per game,Dribbled past per game,Clearances per game,Errors leading to shot,Succ. dribbles,Total duels won,Aerial duels won,Fouls,Was fouled,Offsides,Goal kicks per game,Yellow,Yellow-red,Red
Alex,31,"1,87 m","Rp4,35B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/alex_original_59112.png?1690778035,CF,Dewa United FC,32,30,94,,,20,151 min,0.6,3,1.5,2,0.6,11.7 (77%),0.4 (57%),0.1 (25%),,1.1,1.8,0.5,0.5,7,1.9 (70%),7.0 (37%),1.7 (50%),0.9,1.7,0.6,,3,1,1
Majed Osman,30,"1,83 m","Rp6,52B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-majed-osman-sobhi-230630-1688075664_original_40839.jpg?1698309326,LW,Dewa United FC,30,21,70,,,4,523 min,0.1,2,0.7,5,1.3,19.7 (81%),0.6 (52%),0.7 (33%),,1.5,3.1,0.7,0.2,2,4.9 (75%),8.8 (47%),0.2 (33%),1,1.4,0.3,,3,0,0
Septian Bagaskara,26,"1,83 m","Rp2,61B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-septian-satria-bagaskara-230626-1687737067_original_23614.jpg?1698309642,CF,Dewa United FC,19,4,29,,,2,275 min,0.1,0.8,0.3,0,0.05,4.1 (84%),0 (0%),0.0 (0%),,0.3,0.4,0.1,0.3,0,0.3 (55%),1.8 (44%),1.1 (61%),0.3,0.2,0.1,,3,0,0
Rangga Muslim Perkasa,30,"1,66 m","Rp2,17B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-rangga-muslim-perkasa-230616-1686905324_original_23585.jpg?1698309578,AMF,Dewa United FC,9,5,43,,,0,0 min,0,0.6,0.1,0,0.1,14.0 (89%),0.6 (100%),0.1 (25%),,0.8,2.1,0.8,0.2,1,0.8 (88%),2.4 (32%),0.2 (33%),1,0.8,0.1,,2,0,0
Egy Maulana Vikri,24,"1,70 m","Rp4,35B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-egy-maulana-vikri-230621-1687319089_original_28500.jpg?1698309206,RW,Dewa United FC,29,25,81,,,7,337 min,0.2,2.1,1.1,4,1.5,18.8 (78%),0.7 (43%),0.4 (27%),,1.2,3.2,1.3,0.1,5,3.2 (76%),6.6 (40%),0.3 (24%),1.2,1.3,0.2,,1,1,1
Ricky Kambuaya,28,"1,77 m","Rp4,78B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-ricki-kambuaya-230706-1688653247_original_23550.jpg?1698309604,AMF,Dewa United FC,28,26,92,,,4,646 min,0.1,1.3,0.4,3,0.7,27.9 (85%),2.3 (65%),0.1 (12%),,2.7,6.1,2.1,0.8,5,4.9 (85%),9.8 (47%),0.5 (50%),2.6,1.5,0.07,,12,0,0
Dimitrios Kolovos,31,"1,84 m","Rp6,52B",https://cms.disway.id/uploads/7dcd4e5698a36d5a9fa9abd4df74404e.jpg,AMF,Dewa United FC,28,20,73,,,4,511 min,0.1,1.6,0.5,2,0.8,22.0 (84%),0.8 (42%),0.0 (9%),,1.7,3.1,0.8,0.4,10,2.1 (75%),6.3 (45%),0.2 (21%),0.9,2.3,0.3,,6,0,0
Robi Darwis,20,"1,70 m","Rp1,74B",https://img.a.transfermarkt.technology/portrait/big/989215-1699722912.png?lm=1,DMF,Dewa United FC,13,7,58,,,0,0 min,0,0.4,0.2,0,0.4,15.8 (78%),1.1 (50%),0.3 (33%),,2.9,5.2,1.8,1,5,0.5 (38%),3.6 (30%),0.3 (25%),1.4,0.9,0,,4,0,0
OJ Porteria,30,"1,70 m","Rp1,30B",https://img.a.transfermarkt.technology/portrait/big/241744-1645383270.jpg?lm=1,LW,Dewa United FC,9,6,53,,,3,158 min,0.3,1.8,0.6,0,0.4,13.0 (80%),0.6 (42%),0.1 (17%),,2.8,4.1,0.8,0.6,0,2.3 (81%),4.8 (46%),0.2 (67%),1.4,1.6,0,,4,0,0
Ahmad Nufiandani,29,"1,78 m","Rp2,17B",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRsmEO63bTkDCWmLUne2lr_T2OPqi2EinmbHA&s,RW,Dewa United FC,22,9,51,,,4,279 min,0.2,1,0.5,4,1.1,13.0 (77%),0.6 (48%),0.5 (24%),,1.4,2.8,1,0.2,2,1.4 (89%),3.5 (42%),0.3 (47%),1,0.9,0.3,,2,0,0
Feby Eka Putra,25,"1,83 m","Rp1,74B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-feby-eka-putra-230616-1686905426_original_23456.jpg?1698309222,LW,Dewa United FC,20,8,41,,,0,0 min,0,0.3,0.05,2,0.5,7.8 (78%),0.2 (27%),0.2 (36%),,0.9,1.8,0.4,0.4,2,2.2 (59%),4.4 (45%),0.4 (35%),0.4,1.1,0.05,,2,0,0
Asep Berlian,34,"1,78 m","Rp869,08M",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-asep-berlian-230622-1687381137_original_22359.jpg?1698309103,DMF,Dewa United FC,22,6,35,,,0,0 min,0,0.2,0.05,1,0.2,14.7 (90%),1.2 (63%),0.0 (33%),,1.1,3.8,1.6,0.7,6,0.2 (67%),2.5 (34%),0.3 (54%),1.5,0.5,0,,7,0,0
Theo Numberi,22,"1,64 m","Rp1,74B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-theo-fillo-bd-numberi-230626-1687737742_original_24666.jpg?1698309673,DMF,Dewa United FC,28,26,69,,,0,0 min,0,0.3,0.1,0,0.3,32.3 (91%),1.3 (56%),0.1 (75%),,2.7,6.2,2.5,0.8,10,0.3 (73%),2.8 (25%),0.3 (21%),1.1,0.3,0,,3,0,0
Nasir,28,"1,70 m","Rp1,30B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-nasir-230616-1686905069_original_22974.jpg?1698309408,LB,Dewa United FC,11,6,45,,,0,0 min,0,0.09,0,1,0.3,14.4 (88%),0.7 (53%),0.4 (40%),,3,4.8,2.2,0.7,4,0.5 (56%),2.5 (29%),0.4 (29%),1,0.7,0,,1,0,0
